X,Y,FID,Source,Year,Line,Station,Service_Ty,Direction,Boards,Leaves,Stop_ID,Latitude,Longitude
-8366072.78965107,4864762.076971,123,Census,2017,Manayunk/Norristown,North Broad,Weekday,Inbound,3,78,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,124,Census,2017,Lansdale/Doylestown,North Broad,Weekday,Outbound,54,1,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,125,Census,2017,Manayunk/Norristown,North Broad,Weekday,Outbound,79,8,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,126,Census,2017,Lansdale/Doylestown,North Broad,Saturday,Inbound,9,51,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,127,Census,2017,Manayunk/Norristown,North Broad,Saturday,Inbound,8,39,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,128,Census,2017,Lansdale/Doylestown,North Broad,Saturday,Outbound,47,1,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,129,Census,2017,Manayunk/Norristown,North Broad,Saturday,Outbound,32,12,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,130,Census,2017,Lansdale/Doylestown,North Broad,Sunday,Inbound,5,41,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,131,Census,2017,Manayunk/Norristown,North Broad,Sunday,Inbound,1,29,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,132,Census,2017,Lansdale/Doylestown,North Broad,Sunday,Outbound,55,7,90008,39.99187796,-75.15371055
-8366072.78965107,4864762.076971,133,Census,2017,Manayunk/Norristown,North Broad,Sunday,Outbound,34,11,90008,39.99187796,-75.15371055
-8367823.47120776,4882235.9425367,134,Census,2017,Lansdale/Doylestown,North Hills,Weekday,Inbound,199,16,90523,40.11203267,-75.16943719
-8367823.47120776,4882235.9425367,135,Census,2017,Lansdale/Doylestown,North Hills,Weekday,Outbound,9,182,90523,40.11203267,-75.16943719
-8367823.47120776,4882235.9425367,136,Census,2017,Lansdale/Doylestown,North Hills,Saturday,Inbound,63,12,90523,40.11203267,-75.16943719
-8367823.47120776,4882235.9425367,137,Census,2017,Lansdale/Doylestown,North Hills,Saturday,Outbound,4,44,90523,40.11203267,-75.16943719
-8367823.47120776,4882235.9425367,138,Census,2017,Lansdale/Doylestown,North Hills,Sunday,Inbound,38,7,90523,40.11203267,-75.16943719
-8367823.47120776,4882235.9425367,139,Census,2017,Lansdale/Doylestown,North Hills,Sunday,Outbound,5,24,90523,40.11203267,-75.16943719
-8366392.6595287,4865537.14175885,140,Census,2017,Chestnut Hill West,North Philadelphia,Weekday,Inbound,23,22,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,141,Census,2017,Trenton,North Philadelphia,Weekday,Inbound,20,230,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,142,Census,2017,Chestnut Hill West,North Philadelphia,Weekday,Outbound,22,2,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,143,Census,2017,Trenton,North Philadelphia,Weekday,Outbound,175,29,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,144,Census,2017,Chestnut Hill West,North Philadelphia,Saturday,Inbound,3,11,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,145,Census,2017,Trenton,North Philadelphia,Saturday,Inbound,2,160,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,146,Census,2017,Chestnut Hill West,North Philadelphia,Saturday,Outbound,2,3,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,147,Census,2017,Trenton,North Philadelphia,Saturday,Outbound,145,5,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,148,Census,2017,Chestnut Hill West,North Philadelphia,Sunday,Inbound,0,6,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,149,Census,2017,Trenton,North Philadelphia,Sunday,Inbound,1,140,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,150,Census,2017,Chestnut Hill West,North Philadelphia,Sunday,Outbound,1,5,90810,39.99721199,-75.15658399
-8366392.6595287,4865537.14175885,151,Census,2017,Trenton,North Philadelphia,Sunday,Outbound,120,7,90810,39.99721199,-75.15658399
-8379827.08974863,4897141.21277221,152,Census,2017,Lansdale/Doylestown,North Wales,Weekday,Inbound,961,14,90529,40.21435761,-75.27726753
-8379827.08974863,4897141.21277221,153,Census,2017,Lansdale/Doylestown,North Wales,Weekday,Outbound,13,841,90529,40.21435761,-75.27726753
-8379827.08974863,4897141.21277221,154,Census,2017,Lansdale/Doylestown,North Wales,Saturday,Inbound,224,8,90529,40.21435761,-75.27726753
-8379827.08974863,4897141.21277221,155,Census,2017,Lansdale/Doylestown,North Wales,Saturday,Outbound,13,228,90529,40.21435761,-75.27726753
-8379827.08974863,4897141.21277221,156,Census,2017,Lansdale/Doylestown,North Wales,Sunday,Inbound,145,4,90529,40.21435761,-75.27726753
-8379827.08974863,4897141.21277221,157,Census,2017,Lansdale/Doylestown,North Wales,Sunday,Outbound,8,134,90529,40.21435761,-75.27726753
-8382597.66712162,4850147.27416193,158,Census,2017,Wilmington/Newark,Norwood,Weekday,Inbound,255,9,90212,39.89122027,-75.30215605
-8382597.66712162,4850147.27416193,159,Census,2017,Wilmington/Newark,Norwood,Weekday,Outbound,12,229,90212,39.89122027,-75.30215605
-8382597.66712162,4850147.27416193,160,Census,2017,Wilmington/Newark,Norwood,Saturday,Inbound,62,5,90212,39.89122027,-75.30215605
-8382597.66712162,4850147.27416193,161,Census,2017,Wilmington/Newark,Norwood,Saturday,Outbound,4,25,90212,39.89122027,-75.30215605
-8382597.66712162,4850147.27416193,162,Census,2017,Wilmington/Newark,Norwood,Sunday,Inbound,26,3,90212,39.89122027,-75.30215605
-8382597.66712162,4850147.27416193,163,Census,2017,Wilmington/Newark,Norwood,Sunday,Outbound,1,34,90212,39.89122027,-75.30215605
-8362599.9977982,4870796.42594186,164,Census,2017,Fox Chase,Olney,Weekday,Inbound,167,3,90811,40.03339561,-75.12251393
-8362599.9977982,4870796.42594186,165,Census,2017,Fox Chase,Olney,Weekday,Outbound,3,150,90811,40.03339561,-75.12251393
-8362599.9977982,4870796.42594186,166,Census,2017,Fox Chase,Olney,Saturday,Inbound,37,1,90811,40.03339561,-75.12251393
-8362599.9977982,4870796.42594186,167,Census,2017,Fox Chase,Olney,Saturday,Outbound,0,44,90811,40.03339561,-75.12251393
-8362599.9977982,4870796.42594186,168,Census,2017,Fox Chase,Olney,Sunday,Inbound,20,1,90811,40.03339561,-75.12251393
-8362599.9977982,4870796.42594186,169,Census,2017,Fox Chase,Olney,Sunday,Outbound,0,22,90811,40.03339561,-75.12251393
-8369425.65701651,4883133.17519904,170,Census,2017,Lansdale/Doylestown,Oreland,Weekday,Inbound,227,17,90524,40.11819655,-75.18382987
-8369425.65701651,4883133.17519904,171,Census,2017,Lansdale/Doylestown,Oreland,Weekday,Outbound,16,222,90524,40.11819655,-75.18382987
-8369425.65701651,4883133.17519904,172,Census,2017,Lansdale/Doylestown,Oreland,Saturday,Inbound,82,8,90524,40.11819655,-75.18382987
-8369425.65701651,4883133.17519904,173,Census,2017,Lansdale/Doylestown,Oreland,Saturday,Outbound,8,70,90524,40.11819655,-75.18382987
-8369425.65701651,4883133.17519904,174,Census,2017,Lansdale/Doylestown,Oreland,Sunday,Inbound,42,1,90524,40.11819655,-75.18382987
-8369425.65701651,4883133.17519904,175,Census,2017,Lansdale/Doylestown,Oreland,Sunday,Outbound,1,38,90524,40.11819655,-75.18382987
-8376773.77756694,4864475.01192639,176,Census,2017,Paoli/Thorndale,Overbrook,Weekday,Inbound,507,233,90522,39.98990226,-75.24983916
-8376773.77756694,4864475.01192639,177,Census,2017,Paoli/Thorndale,Overbrook,Weekday,Outbound,237,484,90522,39.98990226,-75.24983916
-8376773.77756694,4864475.01192639,178,Census,2017,Paoli/Thorndale,Overbrook,Saturday,Inbound,269,110,90522,39.98990226,-75.24983916
-8376773.77756694,4864475.01192639,179,Census,2017,Paoli/Thorndale,Overbrook,Saturday,Outbound,116,221,90522,39.98990226,-75.24983916
-8376773.77756694,4864475.01192639,180,Census,2017,Paoli/Thorndale,Overbrook,Sunday,Inbound,93,76,90522,39.98990226,-75.24983916
-8376773.77756694,4864475.01192639,181,Census,2017,Paoli/Thorndale,Overbrook,Sunday,Outbound,85,95,90522,39.98990226,-75.24983916
-8402810.38677695,4872186.92946878,182,Census,2017,Paoli/Thorndale,Paoli,Weekday,Inbound,1099,47,90506,40.042959,-75.48373
-8402810.38677695,4872186.92946878,183,Census,2017,Paoli/Thorndale,Paoli,Weekday,Outbound,15,1089,90506,40.042959,-75.48373
-8402810.38677695,4872186.92946878,184,Census,2017,Paoli/Thorndale,Paoli,Saturday,Inbound,357,9,90506,40.042959,-75.48373
-8402810.38677695,4872186.92946878,185,Census,2017,Paoli/Thorndale,Paoli,Saturday,Outbound,3,391,90506,40.042959,-75.48373
-8402810.38677695,4872186.92946878,186,Census,2017,Paoli/Thorndale,Paoli,Sunday,Inbound,268,3,90506,40.042959,-75.48373
-8402810.38677695,4872186.92946878,187,Census,2017,Paoli/Thorndale,Paoli,Sunday,Outbound,11,290,90506,40.042959,-75.48373
-8376119.13769784,4890635.06645616,188,Census,2017,Lansdale/Doylestown,Penllyn,Weekday,Inbound,196,8,90527,40.16971177,-75.24395843
-8376119.13769784,4890635.06645616,189,Census,2017,Lansdale/Doylestown,Penllyn,Weekday,Outbound,4,213,90527,40.16971177,-75.24395843
-8376119.13769784,4890635.06645616,190,Census,2017,Lansdale/Doylestown,Penllyn,Saturday,Inbound,75,6,90527,40.16971177,-75.24395843
-8376119.13769784,4890635.06645616,191,Census,2017,Lansdale/Doylestown,Penllyn,Saturday,Outbound,1,64,90527,40.16971177,-75.24395843
-8376119.13769784,4890635.06645616,192,Census,2017,Lansdale/Doylestown,Penllyn,Sunday,Inbound,44,2,90527,40.16971177,-75.24395843
-8376119.13769784,4890635.06645616,193,Census,2017,Lansdale/Doylestown,Penllyn,Sunday,Outbound,7,49,90527,40.16971177,-75.24395843
-8380328.25900174,4899463.43965042,194,Census,2017,Lansdale/Doylestown,Pennbrook,Weekday,Inbound,609,3,90530,40.23028585,-75.28176961
